T cell,NK cell,B cell,Platelet,Myeloid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X0.p_val,X0.avg_log2FC,X0.pct.1,X0.pct.2,X0.p_val_adj,X0.cluster,X0.gene,X1.p_val,X1.avg_log2FC,X1.pct.1,X1.pct.2,X1.p_val_adj,X1.cluster,X1.gene,X2.p_val,X2.avg_log2FC,X2.pct.1,X2.pct.2,X2.p_val_adj,X2.cluster,X2.gene,X3.p_val,X3.avg_log2FC,X3.pct.1,X3.pct.2,X3.p_val_adj,X3.cluster,X3.gene,X4.p_val,X4.avg_log2FC,X4.pct.1,X4.pct.2,X4.p_val_adj,X4.cluster,X4.gene,X5.p_val,X5.avg_log2FC,X5.pct.1,X5.pct.2,X5.p_val_adj,X5.cluster,X5.gene,X6.p_val,X6.avg_log2FC,X6.pct.1,X6.pct.2,X6.p_val_adj,X6.cluster,X6.gene,X7.p_val,X7.avg_log2FC,X7.pct.1,X7.pct.2,X7.p_val_adj,X7.cluster,X7.gene,X8.p_val,X8.avg_log2FC,X8.pct.1,X8.pct.2,X8.p_val_adj,X8.cluster,X8.gene,X9.p_val,X9.avg_log2FC,X9.pct.1,X9.pct.2,X9.p_val_adj,X9.cluster,X9.gene,X10.p_val,X10.avg_log2FC,X10.pct.1,X10.pct.2,X10.p_val_adj,X10.cluster,X10.gene,X11.p_val,X11.avg_log2FC,X11.pct.1,X11.pct.2,X11.p_val_adj,X11.cluster,X11.gene
0,5.650687347,0.312,0.008,0,0,TRIM31,1.75E-86,4.068995556,0.336,0.196,3.51E-83,1,S100B,0,11.68450088,0.615,0.003,0,2,HP,0,4.608916186,0.445,0.098,0,3,FCRL6,5.42E-170,7.001019706,0.267,0.026,1.08E-166,4,IL2,0,9.829909343,0.919,0.084,0,5,TCL1A,0,8.273548687,0.365,0.003,0,6,SH2D1B,6.10E-105,7.82239986,0.461,0.081,1.22E-101,7,FOXP3,0,10.01254967,0.286,0,0,8,SDR16C5,9.05E-05,9.274560973,0.364,0.009,0.181024683,9,IL23R,4.45E-79,8.69208925,0.921,0.233,8.90E-76,10,CDKN1C,0,15.2635593,0.975,0,0,11,MYCT1
0.009087342,4.479781601,0.273,0.024,1,0,DACT1,2.01E-106,3.991788131,0.428,0.309,4.01E-103,1,DSEL,0,11.29037277,0.762,0.003,0,2,CCL2,0,4.218595036,0.975,0.356,0,3,GZMH,0,5.315955484,0.295,0.004,0,4,HPGDS,0,9.196665014,0.427,0.001,0,5,LINC01013,0,7.353130461,0.363,0.035,0,6,TPD52L1,4.20E-75,6.561822628,0.254,0.019,8.41E-72,7,FANK1,0,9.437963385,0.36,0.005,0,8,OSTN-AS1,2.24E-128,7.885525289,0.558,0.002,4.48E-125,9,SLC4A10,9.76E-35,7.440287301,0.515,0.14,1.95E-31,10,CKB,5.10E-85,14.32431277,1,0.025,1.02E-81,11,PF4
0,4.222135061,0.28,0.016,0,0,CASC15,5.87E-44,3.379715421,0.274,0.178,1.17E-40,1,RPRM,6.28E-37,10.92867495,0.332,0,1.26E-33,2,FOLR3,1.53E-253,4.132368772,0.483,0.187,3.06E-250,3,LAG3,0,4.436233835,0.291,0.019,0,4,COL5A3,4.14E-44,7.988723602,0.321,0.002,8.29E-41,5,COL19A1,0,6.231481891,0.697,0.126,0,6,KLRF1,7.36E-230,6.543501975,0.279,0.017,1.47E-226,7,SEMA3G,1.43E-224,8.45028225,0.261,0.001,2.87E-221,8,BTNL9,1.37E-21,7.205436058,0.403,0.002,2.75E-18,9,MED12L,1.79E-23,7.295995635,0.297,0.056,3.59E-20,10,CEACAM3,7.81E-204,13.79812055,0.8,0,1.56E-200,11,CLEC1B
1.64E-07,2.247796532,0.275,0.061,0.000327311,0,FAM153B,3.04E-212,3.311790263,0.4,0.174,6.08E-209,1,PCSK1N,1.70E-93,10.84062577,0.461,0,3.40E-90,2,Mar-01,0,4.046499731,0.708,0.213,0,3,KLRG1,3.99E-34,4.403933116,0.295,0.078,7.98E-31,4,CCR4,0,7.725526727,0.346,0.001,0,5,FAM111B,9.94E-245,6.005319888,0.395,0.067,1.99E-241,6,MLC1,5.24E-121,5.491700943,0.638,0.177,1.05E-117,7,RTKN2,0,8.377588003,0.403,0.003,0,8,SSPN,8.06E-05,6.421788845,0.34,0.019,0.161116175,9,RORC,3.83E-38,7.152610981,0.257,0.014,7.66E-35,10,CYP4F22,0,13.65705807,0.925,0,0,11,CAPN8
9.58E-23,2.16247522,0.266,0.078,1.92E-19,0,TSHZ2,0,2.776784264,0.929,0.434,0,1,CD8B,0,10.53328957,0.811,0.004,0,2,NRG1,0,3.800665309,0.999,0.495,0,3,CCL5,1.32E-95,3.897794354,0.298,0.04,2.65E-92,4,ST8SIA1,3.93E-65,7.38521005,0.344,0.074,7.86E-62,5,TCL1B,3.67E-252,5.861967203,0.337,0.012,7.34E-249,6,RAMP1,2.87E-44,5.252658537,0.356,0.067,5.74E-41,7,IL2RA,3.49E-214,8.041528876,0.314,0.017,6.97E-211,8,COL4A3,0.003363181,6.095897484,0.422,0.028,1,9,LTK,1.44E-56,7.095314762,0.634,0.147,2.89E-53,10,MS4A4A,0,13.63920489,0.75,0,0,11,TMEM40
0,2.038990848,0.595,0.064,0,0,CLDN5,1.99E-291,2.517200848,0.562,0.206,3.97E-288,1,NELL2,0,10.39514455,0.698,0.001,0,2,CRISPLD2,2.98E-05,3.564893378,0.231,0.307,0.05953028,3,MT1E,1.28E-292,3.872124192,0.521,0.142,2.56E-289,4,TNFRSF4,0,7.111064458,0.756,0.145,0,5,FCER2,8.82E-87,5.715692461,0.3,0.03,1.76E-83,6,NCAM1,2.54E-100,4.854311132,0.406,0.093,5.08E-97,7,DUSP4,1.01E-253,7.897652545,0.318,0.016,2.03E-250,8,AK8,3.60E-247,4.945040223,0.728,0.085,7.20E-244,9,CCL20,6.23E-63,6.680214518,0.832,0.281,1.25E-59,10,HES4,2.16E-69,13.38829015,0.975,0.035,4.31E-66,11,PPBP
5.17E-141,2.022450856,0.459,0.12,1.03E-137,0,CMTM8,6.49E-40,2.307446604,0.395,0.36,1.30E-36,1,RUNX2,0,10.04750877,0.552,0.001,0,2,RNASE2,7.64E-223,3.398464402,0.384,0.127,1.53E-219,3,PTMS,2.14E-179,3.83764082,0.335,0.048,4.28E-176,4,CHN1,0,7.027494837,0.446,0.006,0,5,ZNF608,6.50E-225,5.601905615,0.645,0.258,1.30E-221,6,MYOM2,1.07E-55,4.275561229,0.384,0.099,2.13E-52,7,ICA1,2.45E-193,7.67603712,0.325,0.013,4.91E-190,8,RASSF6,0,4.78540782,0.714,0.04,0,9,PODXL,4.29E-35,5.612323598,0.634,0.209,8.57E-32,10,CTSL,1.51E-279,13.37756862,0.975,0.026,3.03E-276,11,PTCRA
0,1.96249585,0.459,0.053,0,0,ANKRD31,1.29E-198,2.175251867,0.415,0.208,2.57E-195,1,CARS,5.22E-10,9.949505174,0.34,0.001,1.04E-06,2,PID1,4.18E-68,3.37845065,0.288,0.163,8.35E-65,3,IFNG,2.87E-294,3.102618736,0.413,0.075,5.75E-291,4,PDCD1,0,6.970659717,0.705,0.039,0,5,FCRL1,1.65E-23,5.576736636,0.352,0.203,3.29E-20,6,AKR1C3,3.05E-43,3.967694524,0.304,0.074,6.10E-40,7,CCR10,0,7.667657651,0.597,0.03,0,8,TNFRSF13B,0,4.782537102,0.718,0.017,0,9,MCAM,3.50E-18,5.600595868,0.386,0.133,6.99E-15,10,ICAM4,0,13.37678605,0.925,0,0,11,RGS6
0,1.875402619,0.838,0.286,0,0,MAL,1.64E-81,1.978842405,0.255,0.12,3.27E-78,1,CPA5,0,9.766461767,0.756,0.001,0,2,PLA2G7,0,3.374502132,0.732,0.385,0,3,CD8A,4.84E-232,3.022028371,0.311,0.057,9.68E-229,4,CPNE7,0,6.840474239,0.586,0.048,0,5,TSPAN13,0,5.566408737,0.925,0.32,0,6,GNLY,1.05E-46,3.748194588,0.464,0.191,2.11E-43,7,IKZF2,3.52E-153,7.36789638,0.385,0.046,7.04E-150,8,CD80,1.09E-48,4.722604129,0.272,0.014,2.19E-45,9,CXCR6,6.24E-112,5.390449092,0.97,0.195,1.25E-108,10,MS4A7,2.83E-153,12.99971755,0.9,0.021,5.66E-150,11,CMTM5
0.002086224,1.856249285,0.282,0.024,1,0,TSPAN18,1.17E-30,1.897518449,0.279,0.203,2.34E-27,1,GTSCR1,0,9.676770661,0.902,0.05,0,2,S100A12,0,3.336686209,0.439,0.091,0,3,C1orf21,2.49E-168,2.879383625,0.523,0.277,4.99E-165,4,NPDC1,0,6.81915302,0.819,0.011,0,5,VPREB3,8.09E-299,5.273755738,0.573,0.12,1.62E-295,6,IGFBP7,6.18E-90,3.725062376,0.599,0.18,1.24E-86,7,TIGIT,0,7.204485003,0.36,0.01,0,8,EBI3,0,4.606193035,0.646,0.011,0,9,NUAK1,1.92E-40,5.295090877,0.683,0.208,3.83E-37,10,TCF7L2,1.44E-153,12.90519092,0.975,0.04,2.88E-150,11,GP9
