"X0.p_val","X0.avg_log2FC","X0.pct.1","X0.pct.2","X0.p_val_adj","X0.cluster","X0.gene","X1.p_val","X1.avg_log2FC","X1.pct.1","X1.pct.2","X1.p_val_adj","X1.cluster","X1.gene","X2.p_val","X2.avg_log2FC","X2.pct.1","X2.pct.2","X2.p_val_adj","X2.cluster","X2.gene","X3.p_val","X3.avg_log2FC","X3.pct.1","X3.pct.2","X3.p_val_adj","X3.cluster","X3.gene","X4.p_val","X4.avg_log2FC","X4.pct.1","X4.pct.2","X4.p_val_adj","X4.cluster","X4.gene","X5.p_val","X5.avg_log2FC","X5.pct.1","X5.pct.2","X5.p_val_adj","X5.cluster","X5.gene","X6.p_val","X6.avg_log2FC","X6.pct.1","X6.pct.2","X6.p_val_adj","X6.cluster","X6.gene","X7.p_val","X7.avg_log2FC","X7.pct.1","X7.pct.2","X7.p_val_adj","X7.cluster","X7.gene","X8.p_val","X8.avg_log2FC","X8.pct.1","X8.pct.2","X8.p_val_adj","X8.cluster","X8.gene","X9.p_val","X9.avg_log2FC","X9.pct.1","X9.pct.2","X9.p_val_adj","X9.cluster","X9.gene","X10.p_val","X10.avg_log2FC","X10.pct.1","X10.pct.2","X10.p_val_adj","X10.cluster","X10.gene"
0,3.58916435931698,0.451,0.043,0,"0","FHIT",0,4.49667622910718,0.776,0.042,0,"1","RP11-291B21.2",0,4.68378984112084,0.403,0.021,0,"2","HLA-DQA2",2.35551234507587e-147,1.94033064553862,0.408,0.14,5.8310708102353e-143,"3","SOCS3",3.02699413245591e-133,2.747362689426,0.263,0.055,7.49332397489462e-129,"4","TIGIT",1.15748327225351e-123,2.66325576019031,0.279,0.046,2.86534984046356e-119,"5","HNRNPLL",0,5.52414943701158,0.519,0.031,0,"6","MYOM2",0,6.95442936709139,0.764,0.01,0,"7","LINC02446",0,7.46061789208912,0.273,0.004,0,"8","TRGV9",0,8.33665994147246,0.495,0.002,0,"9","KIR3DL1",6.79577899888632e-78,5.03700082947348,0.288,0.011,1.68229509117431e-73,"10","LTK"
0,3.43428779458354,0.392,0.04,0,"0","CHRM3-AS2",9.50868567648475e-220,2.27843581964603,0.345,0.07,2.3538751392138e-215,"1","C1orf228",0,4.2033501591053,0.972,0.094,0,"2","GZMH",1.99479444210264e-111,1.91776869915071,0.297,0.091,4.93811364142509e-107,"3","SGK1",1.7199468711899e-124,2.60799506388981,0.265,0.058,4.2577284796306e-120,"4","MAF",3.90322834904538e-194,2.54563595952634,0.428,0.07,9.66244177806183e-190,"5","CD82",0,5.38663704112001,0.532,0.036,0,"6","CCL3",0,4.60036101160176,0.336,0.015,0,"7","CD248",0,5.94625414118123,0.264,0.005,0,"8","SLC4A10",0,8.28951851180616,0.635,0.002,0,"9","ADGRG1",5.64236875643668e-113,4.91187905423211,0.356,0.012,1.3967683856559e-108,"10","SLC4A10"
1.71366171309018e-252,3.16218097451758,0.265,0.033,4.24216957075475e-248,"0","RETREG1",1.03034835144694e-246,2.05856103100626,0.416,0.095,2.5506273440069e-242,"1","YBX3",0,3.84917318022856,0.437,0.04,0,"2","LAG3",4.55142137834814e-81,1.79239629929281,0.256,0.086,1.12670436221008e-76,"3","FAM101B",1.52388010220232e-129,2.31392363605427,0.306,0.074,3.77236519300183e-125,"4","RP11-138A9.1",3.98846205694143e-258,2.51392574430118,0.918,0.392,9.87343782195851e-254,"5","CRIP1",0,5.30828359572151,0.435,0.014,0,"6","IGFBP7",0,3.19659541695292,0.773,0.068,0,"7","KLRK1",1.52771417125706e-270,4.87018348484874,0.273,0.01,3.78185643094686e-266,"8","TRAV1-2",0,7.46996614187433,0.385,0.002,0,"9","SIGLEC7",1.00296960191206e-57,4.0846281161251,0.373,0.026,2.4828512495333e-53,"10","TLE1"
0,3.145152591491,0.366,0.047,0,"0","BEX3",0,1.98979136104889,0.725,0.24,0,"1","AIF1",0,3.75567302546882,0.397,0.034,0,"2","FCRL6",2.83924344031771e-68,1.69811828779527,0.26,0.099,7.02854713650648e-64,"3","GADD45A",3.66399671489627e-146,2.24735345665575,0.443,0.148,9.07022386772573e-142,"4","LIMS1",2.62000591912977e-114,2.48375287880827,0.282,0.051,6.48582465280575e-110,"5","AL133415.1",0,4.70966888475848,0.952,0.048,0,"6","TYROBP",2.27749417522821e-285,3.11591638195896,0.427,0.039,5.63793683077745e-281,"7","KLRC4",6.98247191488617e-261,4.51356935789152,0.33,0.018,1.72851092253007e-256,"8","LINC01871",0,7.08233602000009,0.25,0.002,0,"9","CXCR2",3.26108616350958e-61,3.71862016221873,0.508,0.047,8.07281879776796e-57,"10","LMNA"
2.15601941702108e-289,3.13616075141567,0.3,0.037,5.33722606683569e-285,"0","LINC01550",3.22424171531505e-162,1.93849677967481,0.316,0.078,7.98161036626241e-158,"1","SGK1",0,3.75556365055446,0.518,0.06,0,"2","HLA-DRA",2.95316864177611e-119,1.67932383293787,0.36,0.122,7.31056897271676e-115,"3","SELM",4.92707937124588e-198,2.14352522526768,0.565,0.181,1.21969849835192e-193,"4","RP11-138A9.2",1.57207417982918e-104,2.31348912696631,0.303,0.063,3.89166963216714e-100,"5","JPT1",0,4.64818655899928,0.871,0.062,0,"6","FCER1G",3.04832538044574e-176,2.7354370306123,0.374,0.051,7.54612947929344e-172,"7","PECAM1",2.05817841816439e-260,3.65983385121668,0.434,0.033,5.09502067416596e-256,"8","EOMES",0,6.06206580883947,0.411,0.012,0,"9","AC092821.3",4.62868899337625e-37,3.49050697413712,0.271,0.021,1.14583196031029e-32,"10","C10orf128"
5.99168416777716e-268,3.10086243811447,0.281,0.036,1.48324141573324e-263,"0","FAM153CP",1.53830095961475e-130,1.80366397685106,0.273,0.069,3.80806402552632e-126,"1","ATHL1",0,3.61337954319808,0.886,0.108,0,"2","HLA-DRB5",2.82638430145477e-116,1.67065551133058,0.408,0.168,6.99671433825128e-112,"3","CITED4",8.0425237818618e-140,2.13727555841078,0.436,0.14,1.99092676219989e-135,"4","RGS1",5.01908318143018e-107,2.29179269584913,0.339,0.077,1.24247404156304e-102,"5","LPAR6",0,4.56563390004214,0.28,0.014,0,"6","LAT2",5.68581650537497e-187,2.68315231780578,0.44,0.068,1.40752387590557e-182,"7","C20orf204",2.36639818035518e-125,3.26805350556593,0.325,0.041,5.85801869546925e-121,"8","CXCR3",0,6.04346479422966,0.604,0.009,0,"9","TRDC",6.01967586927908e-59,3.35319001695827,0.678,0.086,1.49017076144004e-54,"10","CEBPD"
2.38750635668347e-229,2.92310855923983,0.253,0.034,5.91027198596994e-225,"0","NOG",0,1.76037262854293,0.91,0.244,0,"1","CD8B",0,3.45194091507027,0.999,0.186,0,"2","CCL5",1.10133039465511e-87,1.54641470330621,0.35,0.147,2.72634339196873e-83,"3","UGCG",2.51097089649267e-185,2.07235744644778,0.584,0.21,6.2159084542676e-181,"4","RNF19A",1.11988890245803e-150,2.20214225774548,0.475,0.112,2.77228497803484e-146,"5","TRAC",0,4.46850280063598,0.899,0.106,0,"6","GNLY",2.82700877040892e-129,2.6719221389313,0.272,0.036,6.99826021114729e-125,"7","ANTKMT",1.71503773676942e-295,3.18157072508785,0.695,0.084,4.24557591737269e-291,"8","KLRK1",0,5.96124558125562,0.693,0.017,0,"9","SH2D1B",1.90166837883904e-50,3.30217177760802,0.627,0.088,4.70758007181603e-46,"10","GTF3C1"
1.10324540119379e-240,2.85645861371349,0.265,0.035,2.73108399065523e-236,"0","GSTM2",1.06040854766825e-185,1.57342894398277,0.466,0.142,2.62504135975275e-181,"1","C6orf48",0,3.43810787907561,0.331,0.034,0,"2","PTMS",0,1.44505317099513,0.978,0.503,0,"3","GLTSCR2",6.49751651430385e-177,2.02922025349858,0.569,0.205,1.60846021311592e-172,"4","ARID5B",4.74937369959558e-207,2.18473513135742,0.616,0.142,1.17570745933488e-202,"5","PLSCR3",3.59986963885185e-297,4.45306287151976,0.308,0.02,8.91147729097776e-293,"6","HAVCR2",6.20618278943051e-201,2.60062595563174,0.507,0.085,1.53634054952352e-196,"7","ARMH1",1.31883571055068e-123,3.1444478650356,0.374,0.057,3.26477780146821e-119,"8","TRG-AS1",2.01343509968187e-114,5.85457567661944,0.255,0.017,4.98425858926247e-110,"9","PTGDS",4.42041731123048e-58,3.25940657994465,1,0.251,1.0942743053951e-53,"10","KLRB1"
6.3926424670707e-245,2.85586488498313,0.287,0.043,1.58249864272335e-240,"0","C20orf204",3.57820324273947e-143,1.56999603892095,0.368,0.11,8.85784212740155e-139,"1","SELM",0,3.24261103221965,0.684,0.108,0,"2","KLRG1",3.45716957987615e-91,1.38254089287712,0.375,0.15,8.55822329498342e-87,"3","ILF3-AS1",4.91784841706597e-81,1.9583925431831,0.284,0.093,1.21741337564468e-76,"4","AP3M2",3.10321532658881e-155,2.17750126722491,0.509,0.125,7.6820095409706e-151,"5","NSD3",0,4.37893252182204,0.631,0.034,0,"6","KLRF1",1.8790391098674e-170,2.45139141253562,0.51,0.1,4.65156131647675e-166,"7","AC008105.3",2.31869847612025e-102,2.99348262218293,0.29,0.04,5.73993807763569e-98,"8","ANTKMT",0,5.63010724227404,0.521,0.016,0,"9","CCL4L2",9.61541966850119e-84,3.25528513730033,0.949,0.129,2.38029713893747e-79,"10","GZMK"
0,2.79827269828274,0.477,0.079,0,"0","AC119396.1",4.63652475363067e-130,1.54267061498681,0.345,0.106,1.14777170276127e-125,"1","FAM173A",0,3.21115951839536,0.603,0.089,0,"2","HLA-DRB1",9.00112693073973e-173,1.37098068321013,0.662,0.288,2.22822897170462e-168,"3","CCDC109B",1.84674799566259e-136,1.81339011717856,0.533,0.226,4.57162466326274e-132,"4","TRADD",1.97758389447118e-273,2.16234966551877,0.839,0.223,4.89550893076341e-269,"5","LIME1",0,4.30088404262637,0.636,0.051,0,"6","KLRC1",4.05179240949601e-158,2.3672397833446,0.488,0.098,1.00302121097074e-153,"7","LRRN3",8.91397590853739e-79,2.81097532234233,0.293,0.052,2.20665473615843e-74,"8","JAML",1.30851072936916e-203,5.39290054381256,0.266,0.009,3.23921831055334e-199,"9","PLAAT3",1.49259380711555e-20,3.15666430779255,0.39,0.076,3.69491596951453e-16,"10","LST1"
